Lionel Messi,FC Barcelona | Liga BBVA,RW,94
Danilo,Real Madrid | Liga BBVA,RB,81
Lorenzo Insigne,Napoli | Serie A,CAM,81
Patrick Herrmann,Bor. M&#39;gladbach | Bundesliga,RM,81
Aymen Abdennour,AS Monaco | Ligue 1,CB,81
Gary Medel,Inter | Serie A,CDM,81
Víctor Ruíz,Villarreal CF | Liga BBVA,CB,81
Roberto Pereyra,Juventus | Serie A,CAM,81
Henrikh Mkhitaryan,Bor. Dortmund | Bundesliga,RM,81
Ander Herrera,Manchester Utd | Barclays PL,CM,81
Douglas Costa,FC Bayern | Bundesliga,RM,81
Nathaniel Clyne,Liverpool | Barclays PL,RB,81
Wilfried Bony,Manchester City | Barclays PL,ST,81
Iturraspe,Athletic Bilbao | Liga BBVA,CDM,81
Iborra,Sevilla FC | Liga BBVA,CDM,81
Jack Wilshere,Arsenal | Barclays PL,CM,81
Nicolas Nkoulou,Marseille | Ligue 1,CB,81
Camacho,Málaga CF | Liga BBVA,CDM,81
Mateo Musacchio,Villarreal CF | Liga BBVA,CB,81
Ömer Toprak,Bayer 04 | Bundesliga,CB,81
José Callejón,Napoli | Serie A,CAM,81
Sofiane Feghouli,Valencia CF | Liga BBVA,RW,81
Sebastian Giovinco,Toronto FC | MLS,CF,81
Matteo Darmian,Manchester Utd | Barclays PL,RB,81
Bruno,Villarreal CF | Liga BBVA,CM,81
Toby Alderweireld,Spurs | Barclays PL,CB,81
Max Kruse,VfL Wolfsburg | Bundesliga,CF,81
Marco Parolo,Lazio | Serie A,CM,81
Mamadou Sakho,Liverpool | Barclays PL,CB,81
Aurélien Chedjou,Galatasaray SK | Süper Lig,CB,81
Martín Cáceres,Juventus | Serie A,CB,81
Stevan Jovetić,Inter | Serie A,ST,81
Ivan Perišić,VfL Wolfsburg | Bundesliga,LM,81
Éverton Ribeiro,NG - FA | Free Agents League,CAM,81
Edin Džeko,Roma | Serie A,ST,81
Hernanes,Inter | Serie A,CAM,81
Séamus Coleman,Everton | Barclays PL,RB,81
Simon Kjær,Fenerbahçe SK | Süper Lig,CB,81
Loïc Rémy,Chelsea | Barclays PL,ST,81
Benoît Trémoulinas,Sevilla FC | Liga BBVA,LB,81
Lars Bender,Bayer 04 | Bundesliga,CM,81
Axel Witsel,Zenit | Russian League,CM,81
Dimitri Payet,West Ham | Barclays PL,CAM,81
Mathieu Valbuena,Olympique Lyon | Ligue 1,CAM,81
Bojan,Stoke City | Barclays PL,CAM,81
Łukasz Piszczek,Bor. Dortmund | Bundesliga,RB,81
José Fonte,Southampton | Barclays PL,CB,81
Raúl García,Atlético Madrid | Liga BBVA,CAM,81
Nuri Şahin,Bor. Dortmund | Bundesliga,CM,81
Gonzalo Castro,Bor. Dortmund | Bundesliga,CM,81
Martin Škrtel,Liverpool | Barclays PL,CB,81
Theo Walcott,Arsenal | Barclays PL,RM,81
Jérémy Ménez,Milan | Serie A,CF,81
Dante,FC Bayern | Bundesliga,CB,81
Raúl Albiol,Napoli | Serie A,CB,81
Clint Dempsey,Sounders FC | MLS,ST,81
André-Pierre Gignac,Tigres | LIGA Bancomer MX,ST,81
Juanfran,Atlético Madrid | Liga BBVA,RB,81
Jesús Navas,Manchester City | Barclays PL,RM,81
Negredo,Valencia CF | Liga BBVA,ST,81
Raffael,Bor. M&#39;gladbach | Bundesliga,CF,81
Darijo Srna,FC Shakhtar | Ukrayina Liha,RB,81
Kaká,Orlando City | MLS,CAM,81
Alex,Milan | Serie A,CB,81
Martín Demichelis,Manchester City | Barclays PL,CB,81
Phil Jagielka,Everton | Barclays PL,CB,81
Nigel de Jong,Milan | Serie A,CDM,81
Patrice Evra,Juventus | Serie A,LB,81
Thiago Motta,PSG | Ligue 1,CDM,81
Mikel Arteta,Arsenal | Barclays PL,CM,81
Didier Drogba,Montreal Impact | MLS,ST,81
Quaresma,Beşiktaş JK | Süper Lig,RM,81
Miroslav Klose,Lazio | Serie A,ST,81
Antonio Cassano,Sampdoria | Serie A,CF,81
Tiago,Atlético Madrid | Liga BBVA,CM,81
Martin Stranzl,Bor. M&#39;gladbach | Bundesliga,CB,81
Arthur Silbeira,Cruzeiro | None,ST,80
Nikola Maksimović,Torino | Serie A,CB,80
Aderlan Santos,Valencia CF | Liga BBVA,CB,80
Gayà,Valencia CF | Liga BBVA,LB,80
André Gomes,Valencia CF | Liga BBVA,CM,80
Domenico Berardi,Sassuolo | Serie A,RW,80
Mohamed Salah,Roma | Serie A,RW,80
Quincy Promes,Spartak Moskva | Russian League,RW,80
Andreas Samaris,SL Benfica | Primeira Liga,CDM,80
Oleg Shatov,Zenit | Russian League,LW,80
André Carrillo,Sporting CP | Primeira Liga,RM,80
Julian Draxler,FC Schalke 04 | Bundesliga,LM,80
Layvin Kurzawa,PSG | Ligue 1,LB,80
Kevin Volland,1899 Hoffenheim | Bundesliga,RM,80
Paco Alcácer,Valencia CF | Liga BBVA,ST,80
Bruno Martins Indi,FC Porto | Primeira Liga,CB,80
Bibras Natcho,CSKA Moskva | Russian League,CM,80
Marc Bartra,FC Barcelona | Liga BBVA,CB,80
Serge Aurier,PSG | Ligue 1,RB,80
Joel Matip,FC Schalke 04 | Bundesliga,CB,80
Phil Jones,Manchester Utd | Barclays PL,CB,80
Xherdan Shaqiri,Stoke City | Barclays PL,RM,80
André Schürrle,VfL Wolfsburg | Bundesliga,LM,80
Holger Badstuber,FC Bayern | Bundesliga,CB,80
Marko Baša,LOSC Lille | Ligue 1,CB,80
Romelu Lukaku,Everton | Barclays PL,ST,80
Maicon,FC Porto | Primeira Liga,CB,80
Gökhan Töre,Beşiktaş JK | Süper Lig,RM,80
Eduardo Salvio,SL Benfica | Primeira Liga,RM,80
Daley Blind,Manchester Utd | Barclays PL,CDM,80
Stephan El Shaarawy,AS Monaco | Ligue 1,LW,80
Eliaquim Mangala,Manchester City | Barclays PL,CB,80
Tony Jantschke,Bor. M&#39;gladbach | Bundesliga,CB,80
De Marcos,Athletic Bilbao | Liga BBVA,RB,80
Kevin Strootman,Roma | Serie A,CM,80
Muniaín,Athletic Bilbao | Liga BBVA,LW,80
Salomón Rondón,West Brom | Barclays PL,ST,80
Daniel Carriço,Sevilla FC | Liga BBVA,CB,80
Taison,FC Shakhtar | Ukrayina Liha,CAM,80
James McCarthy,Everton | Barclays PL,CDM,80
Igor Smolnikov,Zenit | Russian League,RB,80
Maurício,Lazio | Serie A,CB,80
Mario Balotelli,Milan | Serie A,ST,80
Filip Djordjevic,Lazio | Serie A,ST,80
Kieran Gibbs,Arsenal | Barclays PL,LB,80
Mikel San José,Athletic Bilbao | Liga BBVA,CB,80
Ramires,Chelsea | Barclays PL,CDM,80
Adrien Silva,Sporting CP | Primeira Liga,CM,80
Yacine Brahimi,FC Porto | Primeira Liga,LW,80
Pablo Piatti,Valencia CF | Liga BBVA,LW,80
Neven Subotić,Bor. Dortmund | Bundesliga,CB,80
Balázs Dzsudzsák,Bursaspor | Süper Lig,LM,80
Maximiliano Pereira,FC Porto | Primeira Liga,RB,80
Vedran Ćorluka,Lokomotiv | Russian League,CB,80
Georginio Wijnaldum,Newcastle Utd | Barclays PL,CAM,80
Adam Lallana,Liverpool | Barclays PL,CAM,80
Éver Banega,Sevilla FC | Liga BBVA,CAM,80
Branislav Ivanović,Chelsea | Barclays PL,RB,80
Javier Hernández,Manchester Utd | Barclays PL,ST,80
Nacho Monreal,Arsenal | Barclays PL,LB,80
Beñat,Athletic Bilbao | Liga BBVA,CM,80
Vieirinha,VfL Wolfsburg | Bundesliga,RM,80
Sven Bender,Bor. Dortmund | Bundesliga,CDM,80
Domenico Criscito,Zenit | Russian League,LB,80
Coke,Sevilla FC | Liga BBVA,RB,80
Mikel Gonzalez,Real Sociedad | Liga BBVA,CB,80
Kevin Mirallas,Everton | Barclays PL,LM,80
Andrés Guardado,PSV | Eredivisie,CM,80
Fábio Coentrão,Real Madrid | Liga BBVA,LB,80
Gervinho,Roma | Serie A,LW,80
Ryan Shawcross,Stoke City | Barclays PL,CB,80
Fredy Guarín,Inter | Serie A,CM,80
Jardel,SL Benfica | Primeira Liga,CB,80
Roman Shirokov,Spartak Moskva | Russian League,CM,80
Jakub Błaszczykowski,Bor. Dortmund | Bundesliga,RM,80
Mbark Boussoufa,Lokomotiv | Russian League,CAM,80
Ashley Williams,Swansea City | Barclays PL,CB,80
Lassana Diarra,Marseille | Ligue 1,CDM,80
Giuseppe Rossi,Fiorentina | Serie A,ST,80
Moussa Dembélé,Spurs | Barclays PL,CM,80
Llorente,Sevilla FC | Liga BBVA,ST,80
Javi García,Zenit | Russian League,CDM,80
Riccardo Montolivo,Milan | Serie A,CM,80
Trashorras,Rayo Vallecano | Liga BBVA,CDM,80
Ezequiel Lavezzi,PSG | Ligue 1,LW,80
Gökhan Inler,Leicester City | Barclays PL,CDM,80
Mathieu Debuchy,Arsenal | Barclays PL,RB,80
Jefferson Farfán,NG - FA | Free Agents League,CAM,80
Thomas Vermaelen,FC Barcelona | Liga BBVA,CB,80
Michael Bradley,Toronto FC | MLS,CM,80
Rodrigo Palacio,Inter | Serie A,ST,80
Ashley Young,Manchester Utd | Barclays PL,LM,80
Gaël Clichy,Manchester City | Barclays PL,LB,80
Daniel Agger,Brøndby IF | Superliga,CB,80
Igor Denisov,Dinamo Moskva | Russian League,CDM,80
Gabi,Atlético Madrid | Liga BBVA,CM,80
Arbeloa,Real Madrid | Liga BBVA,RB,80
Javi Fuego,Valencia CF | Liga BBVA,CDM,80
Tito,Rayo Vallecano | Liga BBVA,RB,80
Gonzalo Rodríguez,Fiorentina | Serie A,CB,80
James Milner,Liverpool | Barclays PL,CM,80
Stefan Kießling,Bayer 04 | Bundesliga,ST,80
Fernandinho,Manchester City | Barclays PL,CM,80
Maicon,Roma | Serie A,RB,80
Selçuk İnan,Galatasaray SK | Süper Lig,CM,80
David Villa,NY City FC | MLS,ST,80
Iraola,NY City FC | MLS,RB,80
Zoran Tošić,CSKA Moskva | Russian League,RM,80
Stefano Mauri,Lazio | Serie A,CAM,80
Michael Carrick,Manchester Utd | Barclays PL,CM,80
Tomáš Rosický,Arsenal | Barclays PL,CAM,80
Francesco Totti,Roma | Serie A,CF,80
Robbie Keane,LA Galaxy | MLS,ST,80
Adilson Edrada,Atlético Mineiro | None,CAM,79
Laure Santeiro,Grêmio | None,CAM,79
Bernardo Silva,AS Monaco | Ligue 1,RM,79
Nabil Fékir,Olympique Lyon | Ligue 1,ST,79
Federico Mancuello,Independiente | Primera División,CM,79
Paulo Oliveira,Sporting CP | Primeira Liga,CB,79
Bruno Peres,Torino | Serie A,RWB,79
Óliver Torres,Atlético Madrid | Liga BBVA,CAM,79
Franco Vázquez,Palermo | Serie A,CF,79
Luciano Vietto,Atlético Madrid | Liga BBVA,ST,79
Manu Trigueros,Villarreal CF | Liga BBVA,CM,79
Leo Baptistao,Villarreal CF | Liga BBVA,ST,79
Samuel Umtiti,Olympique Lyon | Ligue 1,CB,79
Alberto Moreno,Liverpool | Barclays PL,LWB,79
Matija Nastasić,FC Schalke 04 | Bundesliga,CB,79
Bernat,FC Bayern | Bundesliga,LB,79
Rubén Pardo,Real Sociedad | Liga BBVA,CM,79
Christoph Kramer,Bayer 04 | Bundesliga,CDM,79
Joãozinho,FC Krasnodar | Russian League,LM,79
Davy Klaassen,Ajax | Eredivisie,CAM,79
Aleix Vidal,FC Barcelona | Liga BBVA,RM,79
Johannes Geis,FC Schalke 04 | Bundesliga,CDM,79
Felipe Anderson,Lazio | Serie A,LW,79
Paul-Georges Ntep,Stade Rennais | Ligue 1,LM,79
Rafinha,FC Barcelona | Liga BBVA,CM,79
Mauro Icardi,Inter | Serie A,ST,79
Aïssa Mandi,Stade Reims | Ligue 1,RB,79
Danilo Pereira,FC Porto | Primeira Liga,CDM,79
Juan Jesus,Inter | Serie A,CB,79
Nacer Chadli,Spurs | Barclays PL,LM,79
Cristian Tello,FC Porto | Primeira Liga,RW,79
Sebastian Rode,FC Bayern | Bundesliga,CDM,79
Dušan Tadić,Southampton | Barclays PL,LM,79
Ross Barkley,Everton | Barclays PL,CAM,79
Vincent Aboubakar,FC Porto | Primeira Liga,ST,79
Alex Oxlade-Chamberlain,Arsenal | Barclays PL,RM,79
Rodrigo,Valencia CF | Liga BBVA,ST,79
Pizzi,SL Benfica | Primeira Liga,CAM,79
Enzo Pérez,Valencia CF | Liga BBVA,CM,79
Teófilo Gutiérrez,Sporting CP | Primeira Liga,ST,79
Dejan Lovren,Liverpool | Barclays PL,CB,79
Wahbi Khazri,Bordeaux | Ligue 1,CAM,79
Montoya,Inter | Serie A,RB,79
Mário Fernandes,CSKA Moskva | Russian League,RB,79
Rémy Cabella,Marseille | Ligue 1,CAM,79
Mario Gaspar,Villarreal CF | Liga BBVA,RB,79
Romain Hamouma,Saint-Etienne | Ligue 1,RM,79
Fabián Orellana,Celta Vigo | Liga BBVA,RW,79
Ciro Immobile,Sevilla FC | Liga BBVA,ST,79
Lamine Sané,Bordeaux | Ligue 1,CB,79
Illarramendi,Real Sociedad | Liga BBVA,CM,79
Adem Ljajić,Roma | Serie A,LW,79
Canales,Real Sociedad | Liga BBVA,CAM,79
Iago Falqué,Roma | Serie A,RW,79
Balenziaga,Athletic Bilbao | Liga BBVA,LB,79
Chris Smalling,Manchester Utd | Barclays PL,CB,79
Luuk de Jong,PSV | Eredivisie,ST,79
Bas Dost,VfL Wolfsburg | Bundesliga,ST,79
Seydou Doumbia,CSKA Moskva | Russian League,ST,79
Kyle Walker,Spurs | Barclays PL,RB,79
Jefferson,Sporting CP | Primeira Liga,LB,79
Steven N&#39;Zonzi,Sevilla FC | Liga BBVA,CDM,79
Marlos,FC Shakhtar | Ukrayina Liha,CAM,79
Alan Dzagoev,CSKA Moskva | Russian League,LM,79
Artem Dzyuba,Zenit | Russian League,ST,79
Lars Stindl,Bor. M&#39;gladbach | Bundesliga,CAM,79
Kwadwo Asamoah,Juventus | Serie A,LM,79
Franco Di Santo,FC Schalke 04 | Bundesliga,ST,79
Danny Welbeck,Arsenal | Barclays PL,ST,79
Aleksandar Kolarov,Manchester City | Barclays PL,LB,79
Kyriakos Papadopoulos,Bayer 04 | Bundesliga,CB,79
Fernando,Manchester City | Barclays PL,CDM,79
Diego Perotti,Genoa | Serie A,LW,79
Angelo Ogbonna,West Ham | Barclays PL,CB,79
Jordan Henderson,Liverpool | Barclays PL,CM,79
Claudio Beauvue,Olympique Lyon | Ligue 1,ST,79
Max Gradel,Bournemouth | FL Championship,LW,79
Luiz Adriano,Milan | Serie A,ST,79
Rhodolfo,Beşiktaş JK | Süper Lig,CB,79
Emiliano Insua,VfB Stuttgart | Bundesliga,LB,79
Adel Taarabt,SL Benfica | Primeira Liga,CAM,79
Antunes,NG - FA | Free Agents League,LB,79
Jeremain Lens,Sunderland | Barclays PL,LW,79
Eder,Sampdoria | Serie A,LW,79
Granero,Real Sociedad | Liga BBVA,CM,79
Serdar Tasci,Spartak Moskva | Russian League,CB,79
Bryan Ruíz,Sporting CP | Primeira Liga,LM,79
Augusto Fernández,Celta Vigo | Liga BBVA,CM,79
Kévin Gameiro,Sevilla FC | Liga BBVA,ST,79
André Ayew,Swansea City | Barclays PL,LM,79
Lucas Leiva,Liverpool | Barclays PL,CDM,79
Pedro León,Getafe CF | Liga BBVA,RM,79
Felipe Caicedo,RCD Espanyol | Liga BBVA,ST,79
Gonzalo Castro,Real Sociedad | Liga BBVA,LW,79
Zlatko Junuzović,Werder Bremen | Bundesliga,CM,79
Héctor Moreno,PSV | Eredivisie,CB,79
Cristian Ansaldi,Zenit | Russian League,LB,79
Davide Astori,Fiorentina | Serie A,CB,79
Carlos Martínez,Real Sociedad | Liga BBVA,RB,79
Mario Suárez,Fiorentina | Serie A,CM,79
Cheick Tioté,Newcastle Utd | Barclays PL,CDM,79
Giovani dos Santos,LA Galaxy | MLS,ST,79
Erik Lamela,Spurs | Barclays PL,RM,79
Micah Richards,Aston Villa | Barclays PL,CB,79
Yohan Cabaye,Crystal Palace | Barclays PL,CDM,79
Antonio Valencia,Manchester Utd | Barclays PL,RM,79
Rasmus Elm,Kalmar FF | Allsvenskan,CDM,79
Dušan Basta,Lazio | Serie A,RB,79
Gabriel Paletta,Atalanta | Serie A,CB,79
Nicolás Pareja,Sevilla FC | Liga BBVA,CB,79
Stefan Radu,Lazio | Serie A,LB,79
Adriano,FC Barcelona | Liga BBVA,LB,79
Bacary Sagna,Manchester City | Barclays PL,RB,79
Younès Kaboul,Sunderland | Barclays PL,CB,79
Andrea Raggi,AS Monaco | Ligue 1,CB,79
Agirretxe,Real Sociedad | Liga BBVA,ST,79
Hatem Ben Arfa,OGC Nice | Ligue 1,RM,79
Fabio Quagliarella,Torino | Serie A,ST,79
Alexandre Song,FC Barcelona | Liga BBVA,CDM,79
Jorge Valdivia,NG - FA | Free Agents League,CAM,79
Andreas Granqvist,FC Krasnodar | Russian League,CB,79
Rio Mavuba,LOSC Lille | Ligue 1,CDM,79
Christophe Jallet,Olympique Lyon | Ligue 1,RB,79
Vasiliy Berezutskiy,CSKA Moskva | Russian League,CB,79
Alexandr Samedov,Lokomotiv | Russian League,RM,79
Soldado,Villarreal CF | Liga BBVA,ST,79
Diego Milito,Racing Club | Primera División,ST,79
Emir Spahić,Hamburger SV | Bundesliga,CB,79
Joleon Lescott,West Brom | Barclays PL,CB,79
Amaya,Rayo Vallecano | Liga BBVA,CB,79
Bruno Alves,Fenerbahçe SK | Süper Lig,CB,79
Obafemi Martins,Sounders FC | MLS,ST,79
Daniel Baier,FC Augsburg | Bundesliga,CDM,79
Diego,Fenerbahçe SK | Süper Lig,CAM,79
Felipe Melo,Galatasaray SK | Süper Lig,CDM,79
Mehmet Topal,Fenerbahçe SK | Süper Lig,CDM,79
Burak Yılmaz,Galatasaray SK | Süper Lig,ST,79
Alexander Meier,Eint. Frankfurt | Bundesliga,ST,79
Antonio Di Natale,Udinese | Serie A,ST,79
Rubén Castro,Real Betis | Liga Adelante,ST,79
Gurpegi,Athletic Bilbao | Liga BBVA,CB,79
Alberto Aquilani,Sporting CP | Primeira Liga,CM,79
Maxwell,PSG | Ligue 1,LB,79
Emmanuel Adebayor,Spurs | Barclays PL,ST,79
Jermain Defoe,Sunderland | Barclays PL,ST,79
Fernando Torres,Atlético Madrid | Liga BBVA,ST,79
Kevin Kurányi,1899 Hoffenheim | Bundesliga,ST,79
Fabricio Coloccini,Newcastle Utd | Barclays PL,CB,79
Joaquín,Fiorentina | Serie A,RM,79
Philippe Mexès,Milan | Serie A,CB,79
Seydou Keita,Roma | Serie A,CDM,79
Samuel Eto&#39;o,Antalyaspor | None,ST,79
Gareth Barry,Everton | Barclays PL,CDM,79
